index,name,title,fleet,fleet_code,description,model_hint,environment,connectors,token_tier,outputs,next_skills
11,zeref-biz-competitive-intelligence-analyst,Competitive Intelligence Analyst,Business Team,biz,"Operates as the Competitive Intelligence Analyst for Zeref Skills Fleet work. Use when the project requires competitive intelligence analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Competitive_Analysis_Matrix.md; Differentiation_Report.md,
12,zeref-biz-business-validator,Business Validator,Business Team,biz,"Operates as the Business Validator for Zeref Skills Fleet work. Use when the project requires business validator judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Business_Validation_Report.md; Go_No_Go_Memo.md,
13,zeref-biz-product-market-fit-analyst,Product-Market Fit Analyst,Business Team,biz,"Operates as the Product-Market Fit Analyst for Zeref Skills Fleet work. Use when the project requires product-market fit analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,PMF_Hypothesis_Report.md; Validation_Test_Plan.md,
14,zeref-biz-financial-analyst,Financial Analyst,Business Team,biz,"Operates as the Financial Analyst for Zeref Skills Fleet work. Use when the project requires financial analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Financial_Model_Brief.md; Pricing_Assumptions.md,
15,zeref-biz-monetization-strategist,Monetization Strategist,Business Team,biz,"Operates as the Monetization Strategist for Zeref Skills Fleet work. Use when the project requires monetization strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Monetization_Strategy.md; Pricing_Options_Matrix.md,
16,zeref-biz-operations-strategist,Operations Strategist,Business Team,biz,"Operates as the Operations Strategist for Zeref Skills Fleet work. Use when the project requires operations strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Operations_Blueprint.md; SOP_Index.md,
17,zeref-biz-risk-analyst,Risk Analyst,Business Team,biz,"Operates as the Risk Analyst for Zeref Skills Fleet work. Use when the project requires risk analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Risk_Register.md; Mitigation_Plan.md,
18,zeref-biz-legal-advisor,Legal Advisor,Business Team,biz,"Operates as the Legal Advisor for Zeref Skills Fleet work. Use when the project requires legal advisor judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Legal_Risk_Memo.md; Compliance_Checklist.md,
19,zeref-biz-partnership-strategist,Partnership Strategist,Business Team,biz,"Operates as the Partnership Strategist for Zeref Skills Fleet work. Use when the project requires partnership strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Partnership_Strategy.md; Partner_Target_List.md,
20,zeref-biz-investor-pitch-strategist,Investor Pitch Strategist,Business Team,biz,"Operates as the Investor Pitch Strategist for Zeref Skills Fleet work. Use when the project requires investor pitch strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Investor_Memo.md; Pitch_Deck_Outline.md,
21,zeref-biz-grant-funding-analyst,Grant/Funding Analyst,Business Team,biz,"Operates as the Grant/Funding Analyst for Zeref Skills Fleet work. Use when the project requires grant/funding analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Funding_Opportunity_Report.md; Application_Materials_Checklist.md,
22,zeref-biz-kpi-analyst,Business KPI Analyst,Business Team,biz,"Operates as the Business KPI Analyst for Zeref Skills Fleet work. Use when the project requires business kpi analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,KPI_Framework.md; Metrics_Dictionary.md,
23,zeref-ux-research-lead,UX Research Lead,UI/UX Team,ux,"Operates as the UX Research Lead for Zeref Skills Fleet work. Use when the project requires ux research lead judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,User_Research_Plan.md; Interview_Script.md; Survey_Plan.md,
24,zeref-ux-synthetic-research-analyst,Synthetic Research Analyst,UI/UX Team,ux,"Operates as the Synthetic Research Analyst for Zeref Skills Fleet work. Use when the project requires synthetic research analyst judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Synthetic_Research_Findings.md; Affinity_Map.md; User_Insights.md,
25,zeref-ux-persona-strategist,User Persona Strategist,UI/UX Team,ux,"Operates as the User Persona Strategist for Zeref Skills Fleet work. Use when the project requires user persona strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Personas.md; User_Scenarios.md; JTBD_Framework.md,
26,zeref-ux-problem-definition-specialist,Problem Definition Specialist,UI/UX Team,ux,"Operates as the Problem Definition Specialist for Zeref Skills Fleet work. Use when the project requires problem definition specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Problem_Definition.md; HMW_Statements.md; Design_Challenge.md,
27,zeref-ux-information-architect,Information Architect,UI/UX Team,ux,"Operates as the Information Architect for Zeref Skills Fleet work. Use when the project requires information architect judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Information_Architecture.md; Sitemap.md; Navigation_Model.md,
28,zeref-ux-user-flow-designer,User Flow Designer,UI/UX Team,ux,"Operates as the User Flow Designer for Zeref Skills Fleet work. Use when the project requires user flow designer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,User_Flows.md; Journey_Map.md; Edge_Flow_Map.md,
29,zeref-ux-product-designer,Product Designer,UI/UX Team,ux,"Operates as the Product Designer for Zeref Skills Fleet work. Use when the project requires product designer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Screen_Requirements.md; Product_UX_Spec.md; State_Model.md,
30,zeref-ux-interaction-designer,Interaction Designer,UI/UX Team,ux,"Operates as the Interaction Designer for Zeref Skills Fleet work. Use when the project requires interaction designer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Interaction_Guidelines.md; Motion_And_Feedback_Rules.md,
31,zeref-ux-visual-designer,Visual Designer,UI/UX Team,ux,"Operates as the Visual Designer for Zeref Skills Fleet work. Use when the project requires visual designer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Visual_Direction.md; UI_Style_Notes.md,
32,zeref-ux-design-systems-architect,Design Systems Architect,UI/UX Team,ux,"Operates as the Design Systems Architect for Zeref Skills Fleet work. Use when the project requires design systems architect judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Design_System_Specification.md; Component_Library_Guide.md; Token_Dictionary.md,
33,zeref-ux-accessibility-specialist,Accessibility Specialist,UI/UX Team,ux,"Operates as the Accessibility Specialist for Zeref Skills Fleet work. Use when the project requires accessibility specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Accessibility_Audit.md; Accessibility_Fix_List.md,
34,zeref-ux-writer,UX Writer,UI/UX Team,ux,"Operates as the UX Writer for Zeref Skills Fleet work. Use when the project requires ux writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,UX_Copy_System.md; Microcopy_Table.md,
35,zeref-ux-prototype-specialist,Prototype Specialist,UI/UX Team,ux,"Operates as the Prototype Specialist for Zeref Skills Fleet work. Use when the project requires prototype specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Prototype_Readiness_Report.md; Prototype_Flow_Checklist.md,
36,zeref-ux-figma-architecture-specialist,Figma Architecture Specialist,UI/UX Team,ux,"Operates as the Figma Architecture Specialist for Zeref Skills Fleet work. Use when the project requires figma architecture specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Figma_Architecture_Plan.md; Figma_Cleanup_Checklist.md,
37,zeref-ux-developer-handoff-lead,Developer Handoff Lead,UI/UX Team,ux,"Operates as the Developer Handoff Lead for Zeref Skills Fleet work. Use when the project requires developer handoff lead judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Dev_Handoff.md; Component_Handoff.md; Screen_State_Spec.md,
38,zeref-ux-design-qa-auditor,Design QA Auditor,UI/UX Team,ux,"Operates as the Design QA Auditor for Zeref Skills Fleet work. Use when the project requires design qa auditor judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Design_QA_Report.md; Design_Issue_Log.md,
39,zeref-dev-technical-architect,Technical Architect,Dev Team,dev,"Operates as the Technical Architect for Zeref Skills Fleet work. Use when the project requires technical architect judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Technical_Architecture.md; System_Diagram_Notes.md,
40,zeref-dev-solution-architect,Solution Architect,Dev Team,dev,"Operates as the Solution Architect for Zeref Skills Fleet work. Use when the project requires solution architect judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Solution_Design.md; Implementation_Phases.md,
41,zeref-dev-frontend-engineer,Frontend Engineer,Dev Team,dev,"Operates as the Frontend Engineer for Zeref Skills Fleet work. Use when the project requires frontend engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Frontend_Implementation_Plan.md; Frontend_Component_Map.md,
42,zeref-dev-ios-engineer,Mobile iOS Engineer,Dev Team,dev,"Operates as the Mobile iOS Engineer for Zeref Skills Fleet work. Use when the project requires mobile ios engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,iOS_Build_Plan.md; SwiftUI_Architecture.md,
43,zeref-dev-android-engineer,Mobile Android Engineer,Dev Team,dev,"Operates as the Mobile Android Engineer for Zeref Skills Fleet work. Use when the project requires mobile android engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Android_Build_Plan.md; Compose_Architecture.md,
44,zeref-dev-fullstack-engineer,Full-Stack Engineer,Dev Team,dev,"Operates as the Full-Stack Engineer for Zeref Skills Fleet work. Use when the project requires full-stack engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Full_Stack_Implementation_Plan.md; Integration_Map.md,
45,zeref-dev-backend-engineer,Backend Engineer,Dev Team,dev,"Operates as the Backend Engineer for Zeref Skills Fleet work. Use when the project requires backend engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Backend_Architecture.md; API_Endpoint_Spec.md,
46,zeref-dev-database-architect,Database Architect,Dev Team,dev,"Operates as the Database Architect for Zeref Skills Fleet work. Use when the project requires database architect judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Data_Model.md; Schema_Dictionary.md; Sample_Records.md,
47,zeref-dev-firebase-specialist,Firebase Specialist,Dev Team,dev,"Operates as the Firebase Specialist for Zeref Skills Fleet work. Use when the project requires firebase specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Firebase_Setup_Guide.md; Firestore_Rules_Notes.md,
48,zeref-dev-mongodb-specialist,MongoDB Specialist,Dev Team,dev,"Operates as the MongoDB Specialist for Zeref Skills Fleet work. Use when the project requires mongodb specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,MongoDB_Schema_Guide.md; Mongo_Query_Patterns.md,
49,zeref-dev-api-integration-engineer,API Integration Engineer,Dev Team,dev,"Operates as the API Integration Engineer for Zeref Skills Fleet work. Use when the project requires api integration engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,API_Integration_Notes.md; External_Service_Map.md,
50,zeref-dev-ai-systems-engineer,AI Systems Engineer,Dev Team,dev,"Operates as the AI Systems Engineer for Zeref Skills Fleet work. Use when the project requires ai systems engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,AI_Logic_Specification.md; Prompt_Architecture.md; AI_Evaluation_Plan.md,
51,zeref-dev-security-engineer,Security Engineer,Dev Team,dev,"Operates as the Security Engineer for Zeref Skills Fleet work. Use when the project requires security engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Security_Audit.md; Security_Fix_Plan.md,
52,zeref-dev-devops-engineer,DevOps Engineer,Dev Team,dev,"Operates as the DevOps Engineer for Zeref Skills Fleet work. Use when the project requires devops engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Deployment_Plan.md; Release_Checklist.md,
53,zeref-dev-code-quality-reviewer,Code Quality Reviewer,Dev Team,dev,"Operates as the Code Quality Reviewer for Zeref Skills Fleet work. Use when the project requires code quality reviewer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Code_Review_Report.md; Refactor_Priority_List.md,
54,zeref-dev-github-repository-manager,GitHub Repository Manager,Dev Team,dev,"Operates as the GitHub Repository Manager for Zeref Skills Fleet work. Use when the project requires github repository manager judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,GitHub_Repo_Blueprint.md; Branching_Strategy.md,
55,zeref-dev-technical-documentation-writer,Technical Documentation Writer,Dev Team,dev,"Operates as the Technical Documentation Writer for Zeref Skills Fleet work. Use when the project requires technical documentation writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,README.md; Setup_Guide.md; Technical_Documentation.md,
56,zeref-qa-lead,QA Lead,Testing & Quality Team,qa,"Operates as the QA Lead for Zeref Skills Fleet work. Use when the project requires qa lead judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,QA_Strategy.md; Quality_Gates.md,
57,zeref-qa-ux-usability-tester,UX Usability Tester,Testing & Quality Team,qa,"Operates as the UX Usability Tester for Zeref Skills Fleet work. Use when the project requires ux usability tester judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Usability_Test_Plan.md; Usability_Findings_Report.md,
58,zeref-qa-ui-consistency-auditor,UI Consistency Auditor,Testing & Quality Team,qa,"Operates as the UI Consistency Auditor for Zeref Skills Fleet work. Use when the project requires ui consistency auditor judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,UI_Consistency_Audit.md; Visual_Fix_List.md,
59,zeref-qa-accessibility-tester,Accessibility Tester,Testing & Quality Team,qa,"Operates as the Accessibility Tester for Zeref Skills Fleet work. Use when the project requires accessibility tester judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Accessibility_QA_Report.md; Accessibility_Retest_Checklist.md,
60,zeref-qa-functional-tester,Functional QA Tester,Testing & Quality Team,qa,"Operates as the Functional QA Tester for Zeref Skills Fleet work. Use when the project requires functional qa tester judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Functional_Test_Cases.md; Bug_Report.md,
61,zeref-qa-regression-tester,Regression Tester,Testing & Quality Team,qa,"Operates as the Regression Tester for Zeref Skills Fleet work. Use when the project requires regression tester judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Regression_Checklist.md; Regression_Result_Log.md,
62,zeref-qa-edge-case-tester,Edge Case Tester,Testing & Quality Team,qa,"Operates as the Edge Case Tester for Zeref Skills Fleet work. Use when the project requires edge case tester judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Edge_Case_Report.md; Failure_State_Checklist.md,
63,zeref-qa-performance-tester,Performance Tester,Testing & Quality Team,qa,"Operates as the Performance Tester for Zeref Skills Fleet work. Use when the project requires performance tester judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Performance_Report.md; Optimization_Backlog.md,
64,zeref-qa-security-tester,Security QA Tester,Testing & Quality Team,qa,"Operates as the Security QA Tester for Zeref Skills Fleet work. Use when the project requires security qa tester judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Security_QA_Report.md; Security_Retest_Checklist.md,
65,zeref-qa-analytics-specialist,Analytics QA Specialist,Testing & Quality Team,qa,"Operates as the Analytics QA Specialist for Zeref Skills Fleet work. Use when the project requires analytics qa specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Analytics_QA_Checklist.md; Tracking_Issue_Log.md,
66,zeref-qa-ab-testing-strategist,A/B Testing Strategist,Testing & Quality Team,qa,"Operates as the A/B Testing Strategist for Zeref Skills Fleet work. Use when the project requires a/b testing strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,AB_Test_Plan.md; Experiment_Backlog.md,
67,zeref-qa-marketing-auditor,Marketing QA Auditor,Testing & Quality Team,qa,"Operates as the Marketing QA Auditor for Zeref Skills Fleet work. Use when the project requires marketing qa auditor judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Marketing_QA_Report.md; Funnel_Issue_Log.md,
